"Year","Month","Day","DOY","AirTmax1","AirTmin1","AirTmin2","AirTmax0","SR","Srmax","precip","RH.6","RH.15","wind","cloud","Date ID"
"2020","09","11",255,17.2,12.7,12,NA,2.2,2.2,0,92,56,3.3,1,18516
"2020","09","12",256,16,12,14.1,17.2,2.4,2.2,3.8,77,91,4.9,1.1,18517
"2020","09","13",257,17.4,14.1,12.2,16,2.4,2.3,0.4,80,79,5.5,1,18518
"2020","09","14",258,19.3,12.2,9.4,17.4,2.2,2.2,0,91,68,2.4,1,18519
"2020","09","15",259,25.8,9.4,7.8,19.3,2.2,2.2,0,97,60,0.1,1,18520
"2020","09","16",260,17.3,7.8,2.5,25.8,2.3,2.1,0,99,78,1.8,1.1,18521
"2020","09","17",261,15,2.5,0.6,17.3,2.4,2.2,0,70,60,1,1.1,18522
"2020","09","18",262,16,0.6,8,15,2.3,2.1,0,90,69,1.9,1.1,18523
"2020","09","19",263,15.5,8,9,16,2.2,2,0,98,84,0.1,1.1,18524
"2020","09","20",264,14.1,9,7.6,15.5,2.5,2.3,0,97,85,0.1,1.1,18525
"2020","09","21",265,16.3,7.6,6.4,14.1,2.3,2.1,0,92,80,1,1.1,18526
"2020","09","22",266,20.7,6.4,8.1,16.3,2,2,0,99,51,0.1,1,18527
"2020","09","23",267,21.3,8.1,7.6,20.7,2,2,0,97,56,0.1,1,18528
"2020","09","24",268,18.5,7.6,7.6,21.3,2,2,0,77,60,2.5,1,18529
"2020","09","25",269,15.8,7.6,12.8,18.5,1.3,2.1,26.6,93,91,2.8,0.6,18530
"2020","09","26",270,18.2,12.8,14.6,15.8,2.1,2.1,0.4,94,77,2.3,1,18531
"2020","09","27",271,23.8,14.6,9.1,18.2,1.9,1.9,0,83,63,2.9,1,18532
"2020","09","28",272,18.1,9.1,8.8,23.8,2.2,2,0.2,91,94,1.2,1.1,18533
"2020","09","29",273,18.6,8.8,8,18.1,1.9,1.9,0,98,58,1.1,1,18534
"2020","09","30",274,17.2,8,8.7,18.6,1.9,1.9,0,98,70,2.1,1,18535
"2020","10","01",275,16.6,8.7,13.1,17.2,1.8,1.8,0,87,74,3.5,1,18536
"2020","10","02",276,19.1,13.1,13.5,16.6,1.7,1.7,0,83,70,5.6,1,18537
"2020","10","03",277,18.1,13.5,10.7,19.1,1.7,1.7,0,83,74,6.3,1,18538
"2020","10","04",278,16.8,10.7,8.4,18.1,2,1.8,12.6,86,92,2.6,1.1,18539
"2020","10","05",279,17.9,8.4,11,16.8,1.8,1.8,0,98,63,1.7,1,18540
"2020","10","06",280,16,11,10.4,17.9,1.8,1.7,3.4,95,93,1.9,1.1,18541
"2020","10","07",281,15.1,10.4,10.4,16,1.7,1.6,12,95,81,1.8,1.1,18542
"2020","10","08",282,14.2,10.4,8.8,15.1,1.7,1.6,3,90,72,3.9,1.1,18543
"2020","10","09",283,14.1,8.8,5.9,14.2,1.7,1.6,0.4,76,61,3.2,1.1,18544
"2020","10","10",284,10.8,5.9,3.7,14.1,1.7,1.6,7,95,80,1.8,1.1,18545
"2020","10","11",285,12.9,3.7,1.7,10.8,1.6,1.5,0,99,68,1.1,1.1,18546
"2020","10","12",286,13.6,1.7,4.2,12.9,1.4,1.5,0,98,78,0.4,0.9,18547
"2020","10","13",287,14.2,4.2,2.9,13.6,1.7,1.6,0.2,98,65,0.4,1,18548
"2020","10","14",288,11.2,2.9,0,14.2,1.3,1.6,0,83,67,3.3,0.8,18549
"2020","10","15",289,10.8,0,-1.8,11.2,1.5,1.4,0,70,61,1.4,1.1,18550
"2020","10","16",290,12,-1.8,-0.7,10.8,1.6,1.5,0,96,69,0.3,1.1,18551
"2020","10","17",291,11.2,-0.7,-1.5,12,1.3,1.4,0,96,69,2.1,0.9,18552
"2020","10","18",292,11.2,-1.5,-2.3,11.2,1.5,1.4,0,80,58,1.9,1.1,18553
"2020","10","19",293,10.8,-2.3,5,11.2,1.4,1.3,0,98,67,1,1.1,18554
"2020","10","20",294,11.4,5,8.7,10.8,1.5,1.4,1,95,72,2.9,1.1,18555
"2020","10","21",295,13.2,8.7,12.1,11.4,1.5,1.4,18,95,95,2,1.1,18556
"2020","10","22",296,14.3,12.1,8.2,13.2,1.4,1.3,0.4,89,81,5.5,1.1,18557
"2020","10","23",297,12.5,8.2,7.5,14.3,1.4,1.3,0.8,92,82,3.1,1.1,18558
"2020","10","24",298,13,7.5,9.6,12.5,1.4,1.3,4.4,93,80,2.6,1.1,18559
"2020","10","25",299,14,9.6,8.6,13,1.4,1.3,13.2,86,90,3.3,1.1,18560
"2020","10","26",300,12.4,8.6,6.4,14,1.3,1.2,13.8,97,95,0.2,1.1,18561
"2020","10","27",301,11.4,6.4,7.7,12.4,1.2,1.1,0,98,76,3.2,1.1,18562
"2020","10","28",302,12.5,7.7,3.8,11.4,1.3,1.2,3.2,93,72,3.9,1.1,18563
"2020","10","29",303,11,3.8,2.5,12.5,1.3,1.2,2.2,97,88,0.6,1.1,18564
"2020","10","30",304,9.4,2.5,9,11,1.3,1.2,0.4,99,95,2,1.1,18565
"2020","10","31",305,12.5,9,10.8,9.4,1.1,1,2.6,97,97,1.9,1.1,18566
"2020","11","01",306,13,10.8,11.6,12.5,1.1,1,1,90,85,3.7,1.1,18567
"2020","11","02",307,15.8,11.6,5.8,13,1.1,1,6.8,95,88,5.4,1.1,18568
"2020","11","03",308,12,5.8,4.5,15.8,1.1,1,1,84,78,4.7,1.1,18569
"2020","11","04",309,11.2,4.5,9.5,12,1.1,1,1.4,80,76,5.9,1.1,18570
"2020","11","05",310,11.9,9.5,9.6,11.2,1,0.9,0,79,95,7,1.1,18571
"2020","11","06",311,11.9,9.6,9,11.9,1.4,1.3,0,97,95,2.3,1.1,18572
"2020","11","07",312,10.9,9,5.4,11.9,1,0.9,0,99,90,1.6,1.1,18573
"2020","11","08",313,11.7,5.4,7.7,10.9,1,0.9,0,98,91,0.4,1.1,18574
"2020","11","09",314,9.5,7.7,7.6,11.7,1.1,1,0,90,85,0.5,1.1,18575
"2020","11","10",315,9.3,7.6,5.9,9.5,1,0.9,0,88,82,1.5,1.1,18576
"2020","11","11",316,7.7,5.9,5.5,9.3,1,0.9,0,86,95,0.4,1.1,18577
"2020","11","12",317,7,5.5,6.2,7.7,0.9,0.8,0,92,86,2.3,1.1,18578
"2020","11","13",318,8.7,6.2,4.9,7,0.9,0.8,1.8,93,93,0.6,1.1,18579
"2020","11","14",319,10.5,4.9,6.7,8.7,0.9,0.8,0.8,95,98,0.5,1.1,18580
"2020","11","15",320,12.7,6.7,9.6,10.5,0.7,0.7,0,93,87,4.6,1.1,18581
"2020","11","16",321,11.5,9.6,9.2,12.7,0.9,0.8,1.8,88,83,4.3,1.1,18582
"2020","11","17",322,11.4,9.2,9.7,11.5,0.7,0.7,6,88,95,4.4,1.1,18583
"2020","11","18",323,11.6,9.7,2.2,11.4,0.9,0.8,0.4,93,95,4.5,1.1,18584
"2020","11","19",324,11.3,2.2,-2.4,11.6,0.9,0.8,2.4,79,59,6.9,1.1,18585
"2020","11","20",325,7.9,-2.4,5.3,11.3,0.7,0.7,0.2,69,65,1.6,1.1,18586
"2020","11","21",326,9.8,5.3,8.2,7.9,0.7,0.7,1.8,79,91,6.4,1.1,18587
"2020","11","22",327,9.4,8.2,7,9.8,0.9,0.8,0.2,81,71,7.9,1.1,18588
"2020","11","23",328,9.1,7,7.6,9.4,0.7,0.7,0.6,77,78,6.6,1.1,18589
"2020","11","24",329,9.4,7.6,5.2,9.1,0.7,0.7,6.2,89,93,4.9,1.1,18590
"2020","11","25",330,9.2,5.2,-0.4,9.4,0.6,0.6,0,91,92,2.3,1,18591
"2020","11","26",331,9,-0.4,-3.2,9.2,0.6,0.6,0.8,95,86,2.4,1,18592
"2020","11","27",332,0.1,-3.2,-3.3,9,0.6,0.6,0,98,99,0.1,1,18593
"2020","11","28",333,0.7,-3.3,-1,0.1,0.5,0.7,0,98,99,0.1,0.7,18594
"2020","11","29",334,0.6,-1,-1.3,0.7,0.7,0.7,0,90,84,0.1,1,18595
"2020","11","30",335,2.2,-1.3,1.7,0.6,0.6,0.6,0,86,85,0.8,1,18596
"2020","12","01",336,4.1,1.7,1.3,2.2,0.6,0.6,0.4,92,92,1,1,18597
"2020","12","02",337,4.3,1.3,0.3,4.1,0.6,0.6,0,90,85,1.6,1,18598
"2020","12","03",338,3.4,0.3,0.5,4.3,0.5,0.5,0.6,77,82,4.5,1,18599
"2020","12","04",339,4.2,0.5,1.3,3.4,0.6,0.6,0.2,88,84,3.1,1,18600
"2020","12","05",340,6.8,1.3,3,4.2,0.5,0.5,0,89,83,2.1,1,18601
"2020","12","06",341,8.6,3,5.8,6.8,0.5,0.5,0,90,86,3.1,1,18602
"2020","12","07",342,8.1,5.8,3.4,8.6,0.5,0.5,0,85,83,7,1,18603
"2020","12","08",343,6.2,3.4,3.9,8.1,0.5,0.5,0,95,92,2.7,1,18604
"2020","12","09",344,4.8,3.9,1.2,6.2,0.5,0.5,0.4,87,92,3.9,1,18605
"2020","12","10",345,4.6,1.2,0.5,4.8,0.5,0.5,0.2,87,92,4.4,1,18606
"2020","12","11",346,2.5,0.5,2.3,4.6,0.5,0.5,2,94,92,1.5,1,18607
"2020","12","12",347,4.8,2.3,3.2,2.5,0.5,0.5,0,90,85,2.3,1,18608
"2020","12","13",348,5.3,3.2,1,4.8,0.5,0.5,0,96,91,0.1,1,18609
"2020","12","14",349,6.3,1,6.2,5.3,0.6,0.6,2.2,96,89,3.8,1,18610
"2020","12","15",350,7.5,6.2,5.7,6.3,0.6,0.6,17.4,97,95,1.5,1,18611
"2020","12","16",351,7.2,5.7,5.3,7.5,0.7,0.7,0.4,98,91,1.4,1.1,18612
"2020","12","17",352,7,5.3,6.6,7.2,0.5,0.5,7.2,91,94,3.9,1,18613
"2020","12","18",353,8.1,6.6,3.5,7,0.5,0.5,0.2,89,93,3.1,1,18614
"2020","12","19",354,6.9,3.5,5.5,8.1,0.5,0.5,0,96,94,3.2,1,18615
"2020","12","20",355,7.4,5.5,4.9,6.9,0.5,0.5,2.2,96,93,1.7,1,18616
"2020","12","21",356,7,4.9,5.1,7.4,0.9,0.8,0.2,96,85,2.4,1.1,18617
"2020","12","22",357,7.4,5.1,4.3,7,0.5,0.5,6.8,96,91,4.8,1,18618
"2020","12","23",358,6.7,4.3,-2.8,7.4,0.5,0.5,0,84,92,3.2,1,18619
"2020","12","24",359,4.4,-2.8,-5.4,6.7,0.5,0.5,0,98,80,0.2,1,18620
"2020","12","25",360,0.2,-5.4,-6.5,4.4,0.5,0.5,0,93,85,0.1,1,18621
"2020","12","26",361,4,-6.5,0.8,0.2,0.3,0.5,3.8,94,94,2.8,0.7,18622
"2020","12","27",362,4.4,0.8,1.3,4,0.4,0.5,5.8,87,96,6.9,0.8,18623
"2020","12","28",363,4.6,1.3,2.9,4.4,0.3,0.5,0.6,90,89,4.1,0.7,18624
"2020","12","29",364,4.4,2.9,2.2,4.6,0.4,0.5,2,90,90,1.8,0.8,18625
"2020","12","30",365,4.5,2.2,2.2,4.4,0.3,0.5,4.8,90,92,1.8,0.7,18626
"2020","12","31",366,4.5,2.2,0.4,4.5,0.3,0.5,9.6,90,81,2.5,0.7,18627
"2021","01","02",2,2.3,0.1,-0.3,3.2,0.5,0.5,0,99,90,0.1,1,18628
"2021","01","03",3,3.2,-0.3,-0.9,2.3,0.5,0.5,0,88,83,1.7,1,18629
"2021","01","04",4,1,-0.9,0.1,3.2,0.5,0.5,0,77,79,1.7,1,18630
"2021","01","05",5,2.9,0.1,-0.9,1,0.6,0.6,0,78,75,1.2,1,18631
"2021","01","06",6,1,-0.9,-0.5,2.9,0.4,0.6,0,90,87,2.8,0.6,18632
"2021","01","07",7,0.8,-0.5,-0.5,1,0.6,0.6,0,92,90,0.5,1,18633
"2021","01","08",8,1.5,-0.5,-3.4,0.8,0.5,0.5,0,95,90,0.1,1,18634
"2021","01","09",9,1.4,-3.4,-1.8,1.5,0.6,0.6,0.2,90,88,0.1,1,18635
"2021","01","10",10,3.1,-1.8,1.3,1.4,0.5,0.6,1,81,94,3.2,0.9,18636
"2021","01","11",11,5.2,1.3,-0.3,3.1,0.7,0.7,8.6,94,91,5.1,0.9,18637
"2021","01","12",12,4.9,-0.3,-1.6,5.2,0.6,0.6,2.4,81,80,3.3,1,18638
"2021","01","13",13,2.7,-1.6,-3.7,4.9,0.4,0.6,0,85,98,3.5,0.6,18639
"2021","01","14",14,0.8,-3.7,-10.5,2.7,0.6,0.6,0,82,79,1.8,1,18640
"2021","01","15",15,-3.3,-10.5,-13.1,0.8,0.6,0.6,0,82,81,0.1,1,18641
"2021","01","16",16,-1.6,-13.1,-6.4,-3.3,0.7,0.7,0,89,80,0.1,1,18642
"2021","01","17",17,-0.4,-6.4,-6.9,-1.6,0.7,0.7,0,93,94,0.1,1,18643
"2021","01","18",18,0.5,-6.9,0.4,-0.4,0.8,0.8,1,94,96,1.4,1,18644
"2021","01","19",19,1.4,0.4,0.9,0.5,0.7,0.7,2,98,96,0.9,1.1,18645
"2021","01","20",20,6.3,0.9,4,1.4,0.7,0.7,18,98,96,3.6,1.1,18646
"2021","01","21",21,7.7,4,2.1,6.3,0.7,0.7,0.8,84,70,5.1,1,18647
"2021","01","22",22,6.7,2.1,0,7.7,0.7,0.7,4.2,96,77,5.8,1,18648
"2021","01","23",23,4.5,0,-0.2,6.7,0.8,0.8,0,92,92,1.8,1,18649
"2021","01","24",24,2.5,-0.2,-1,4.5,0.9,0.8,0,96,92,0.2,1.1,18650
"2021","01","25",25,2,-1,-5.6,2.5,1.1,1,1.6,98,98,0.1,1.1,18651
"2021","01","26",26,-0.5,-5.6,-6,2,0.9,0.8,0,97,86,0.1,1.1,18652
"2021","01","27",27,2.2,-6,-8.9,-0.5,0.9,0.8,4.2,97,90,0.4,1.1,18653
"2021","01","28",28,0.3,-8.9,-13.4,2.2,0.5,0.9,0,88,80,0.1,0.6,18654
"2021","01","29",29,-1.1,-13.4,-15.4,0.3,0.8,0.9,0,89,88,0.1,0.9,18655
"2021","01","30",30,0.9,-15.4,-10.9,-1.1,0.9,0.9,0,95,83,0.4,1,18656
"2021","01","31",31,1.7,-10.9,-10.5,0.9,1,0.9,0,94,77,0.2,1.1,18657
"2021","02","01",32,1,-10.5,-7.6,1.7,1,0.9,1,97,96,0.4,1.1,18658
"2021","02","02",33,0.4,-7.6,-8.4,1,0.7,0.9,0.8,95,87,0.1,0.8,18659
"2021","02","03",34,-1.2,-8.4,-12,0.4,0.8,1,0,91,84,2.9,0.8,18660
"2021","02","04",35,-3,-12,-17.1,-1.2,1,1,0,77,75,0.7,1,18661
"2021","02","05",36,-4.1,-17.1,-13.2,-3,1,1,0,84,77,0.4,1,18662
"2021","02","06",37,-4.7,-13.2,-11.4,-4.1,1.1,1.1,0,76,69,0.8,1,18663
"2021","02","07",38,-4.2,-11.4,-7,-4.7,0.9,1,0,60,74,2.1,0.9,18664
"2021","02","08",39,-2.7,-7,-6.3,-4.2,1,1.1,0,82,63,2.7,0.9,18665
"2021","02","09",40,-3.1,-6.3,-8.3,-2.7,1.2,1.1,0,78,70,3.5,1.1,18666
"2021","02","10",41,-2.3,-8.3,-13.6,-3.1,1.3,1.2,0,73,60,2.1,1,18667
"2021","02","11",42,-3.4,-13.6,-16.9,-2.3,1.4,1.3,0,80,56,0.8,1.1,18668
"2021","02","12",43,-2.9,-16.9,-16.3,-3.4,0.9,1.1,0,81,72,0.1,0.8,18669
"2021","02","13",44,-0.7,-16.3,-15.6,-2.9,0.9,1.2,0,86,72,0.1,0.8,18670
"2021","02","14",45,-0.2,-15.6,-12.4,-0.7,1.3,1.2,0.2,89,83,0.1,1.1,18671
"2021","02","15",46,0,-12.4,-1.2,-0.2,1.3,1.2,0,92,68,1.9,1.1,18672
"2021","02","16",47,-0.2,-1.2,-0.9,0,1.4,1.3,0,86,84,2.3,1.1,18673
"2021","02","17",48,1,-0.9,-0.6,-0.2,1.3,1.2,3.4,96,91,5.9,1.1,18674
"2021","02","18",49,1.7,-0.6,0.5,1,1.4,1.3,2,92,94,7,1.1,18675
"2021","02","19",50,2.4,0.5,1,1.7,1.5,1.4,3,96,98,2.3,1.1,18676
"2021","02","20",51,5.7,1,1.9,2.4,0.7,1.4,0,94,87,1.3,0.5,18677
"2021","02","21",52,7.6,1.9,0.5,5.7,1.4,1.4,0,96,86,0.6,1,18678
"2021","02","22",53,12.6,0.5,2.4,7.6,1.4,1.4,0,98,82,1.2,1,18679
"2021","02","23",54,8.7,2.4,4.5,12.6,1,1.4,0,82,99,1.1,0.7,18680
"2021","02","24",55,9.1,4.5,2.4,8.7,1.5,1.5,0,96,76,3.9,1,18681
"2021","02","25",56,9.3,2.4,-0.5,9.1,1.7,1.7,0,86,81,3.5,1,18682
"2021","02","26",57,6.4,-0.5,-3.4,9.3,1.6,1.6,0,90,89,3.2,1,18683
"2021","02","27",58,4.1,-3.4,-1,6.4,1.5,1.5,0,99,98,0.7,1,18684
"2021","02","28",59,3.1,-1,-1.8,4.1,1.5,1.5,0,99,90,0.2,1,18685
"2021","03","01",60,3.7,-1.8,1.1,3.1,1.6,1.6,0.2,99,99,1.6,1,18686
"2021","03","02",61,3.3,1.1,-0.6,3.7,0.7,1.6,0,96,96,0.9,0.5,18687
"2021","03","03",62,1.8,-0.6,-3.8,3.3,1.7,1.7,0,98,99,0.3,1,18688
"2021","03","04",63,5.7,-3.8,-6.7,1.8,1.9,1.9,0,88,60,1.1,1,18689
"2021","03","05",64,4,-6.7,-4.4,5.7,1.7,1.7,0,89,60,1.3,1,18690
